viral_acc	virus_name	report_host	gcfs	host_name	assembly_level
NC_023614	Croceibacter phage P2559Y	Croceibacter atlanticus HTCC2559	['GCF_000196315.1']	Croceibacter atlanticus HTCC2559	represent
NC_024354	Cronobacter phage CR8	Cronobacter sakazakii ATCC 29544	['GCF_003516125.1']	Cronobacter sakazakii ATCC 29544	represent
NC_018454	Cronobacter phage phiES15	UV-induced Cronobacter sakazakii ES15	['-']	-	-
NC_028773	Cronobacter phage S13	Cronobacter sakazakii ATCC 29544	['GCF_003516125.1']	Cronobacter sakazakii ATCC 29544	represent
NC_020078	Cronobacter phage vB_CskP_GAP227	Cronobacter sakazakii strain 51329	['GCF_003516125.1']	Cronobacter sakazakii	represent
NC_016657	Cyanophage 9515-10a	Prochlorococcus sp. MIT9515	['GCF_000007925.1']	Prochlorococcus	represent
NC_020865	Cyanophage KBS-P-1A	Synechococcus sp. WH7803	['GCF_000063505.1']	Synechococcus sp. WH7803	complete
NC_020854	Cyanophage KBS-S-2A	Synechococcus sp. WH7803	['GCF_000063505.1']	Synechococcus sp. WH7803	complete
NC_020857	Cyanophage MED4-117	Prochlorococcus MED4	['GCF_000011465.1']	Prochlorococcus MED4	complete
NC_016658	Cyanophage NATL1A-7	Prochlorococcus sp. NATL1A	['GCF_000007925.1']	Prochlorococcus	represent
NC_016659	Cyanophage NATL2A-133	Prochlorococcus sp. NATL2A	['GCF_000012465.1']	Prochlorococcus sp. NATL2A	complete
NC_020855	Cyanophage P-RSM6	Prochlorococcus NATL2A	['GCF_000012465.1']	Prochlorococcus NATL2A	complete
NC_028663	Cyanophage P-TIM40	Prochlorococcus sp. NATL2A	['GCF_000012465.1']	Prochlorococcus sp. NATL2A	complete
NC_013021	Cyanophage PSS2	Prochlorococcus marinus str. MIT 9313	['GCF_000011485.1']	Prochlorococcus marinus str. MIT 9313	complete
NC_019516	Cyanophage S-TIM5	Synechococcus sp. WH8102	['GCF_003957805.1']	Synechococcus	represent
NC_020872	Cyanophage SS120-1	Prochlorococcus marinus SS120	['GCF_000007925.1']	Prochlorococcus marinus SS120	represent
NC_021072	Cyanophage Syn30	Synechococcus sp. WH7803	['GCF_000063505.1']	Synechococcus sp. WH7803	complete
NC_028702	Delftia phage IME-DE1	Delftia sp. 670	['GCF_016027815.1']	Delftia	represent
NC_000924	Enterobacteria phage 933W	Escherichia coli O157:H7 EDL933	['GCF_000008865.2', 'GCF_000005845.2']	Escherichia coli	reference
NC_042057	Enterobacteria phage DE3	Escherichia coli BL21(DE3)	['GCF_000008865.2', 'GCF_000005845.2']	Escherichia coli	reference
NC_012741	Enterobacteria phage JS10	Escherichia coli K12	['GCF_000005845.2']	Escherichia coli K12	reference
NC_012868	Enterobacteria phage St-1	Escherichia coli strain K12	['GCF_002142715.1', 'GCF_001307215.1']	Escherichia coli strain	complete
NC_031051	Enterococcus phage SANTOR1	Enterococcus faecalis ATCC 19433	['GCF_000742975.1']	Enterococcus faecalis ATCC	complete
NC_028693	Enterococcus phage vB_EfaP_IME195	Enterococcus faecalis 2003	['GCF_000007785.1']	Enterococcus faecalis 2003	complete
NC_023743	Escherichia phage EB49	Escherichia coli CFT073	['GCF_014262945.1', 'GCF_000007445.1']	Escherichia coli CFT073	complete
NC_012740	Escherichia phage JSE	Escherichia coli K12	['GCF_000005845.2']	Escherichia coli K12	reference
NC_021344	Escherichia phage Lw1	Escherichia coli BL21(DE3)	['GCF_000008865.2', 'GCF_000005845.2']	Escherichia coli	reference
NC_041935	Escherichia phage PA28	Escherichia coli PA28	['GCF_000008865.2', 'GCF_000005845.2']	Escherichia coli	reference
NC_024379	Escherichia phage PE3-1	Escherichia coli O153	['GCF_000008865.2', 'GCF_000005845.2']	Escherichia coli	reference
NC_028896	Escherichia phage pro147	Escherichia coli DE048	['GCF_000008865.2', 'GCF_000005845.2']	Escherichia coli	reference
NC_028943	Escherichia phage pro483	Escherichia coli DE048	['GCF_000008865.2', 'GCF_000005845.2']	Escherichia coli	reference
NC_042043	Escherichia phage SRT8	Escherichia coli BL21	['GCF_014263375.1', 'GCF_013166975.1']	Escherichia coli BL21	complete
NC_031082	Escherichia phage vB_EcoM_Alf5	Escherichia coli K12	['GCF_000005845.2']	Escherichia coli K12	reference
NC_041926	Escherichia phage vB_EcoM_ECOO78	Escherichia coli O78	['GCF_020217445.1']	Escherichia coli O78	complete
NC_027395	Escherichia phage vB_EcoP_SU10	Escherichia coli ECOR10	['GCF_000008865.2', 'GCF_000005845.2']	Escherichia coli	reference
NC_031911	Flavobacterium phage 1H	Flavobacterium psychrophilum MH1	['GCF_013343195.2']	Flavobacterium psychrophilum	represent
NC_031926	Flavobacterium phage 2A	Flavobacterium psychrophilum A2	['GCF_013343195.2']	Flavobacterium psychrophilum	represent
NC_021867	Flavobacterium phage 6H	Flavobacterium psychrophilum strain MH1	['GCF_013457195.1']	Flavobacterium psychrophilum strain	complete
NC_027125	Flavobacterium phage FCL-2	Flavobacterium columnare B185	['GCF_001580475.1']	Flavobacterium columnare B185	complete
NC_031914	Flavobacterium phage Fpv1	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	Flavobacterium psychrophilum 950106-1/1	complete
NC_031932	Flavobacterium phage Fpv10	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	Flavobacterium psychrophilum 950106-1/1	complete
NC_031945	Flavobacterium phage Fpv11	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	Flavobacterium psychrophilum 950106-1/1	complete
NC_031931	Flavobacterium phage Fpv2	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	Flavobacterium psychrophilum 950106-1/1	complete
NC_031912	Flavobacterium phage Fpv20	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	Flavobacterium psychrophilum 950106-1/1	complete
NC_031904	Flavobacterium phage Fpv3	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	Flavobacterium psychrophilum 950106-1/1	complete
NC_041872	Flavobacterium phage FpV4	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	Flavobacterium psychrophilum 950106-1/1	complete
NC_031921	Flavobacterium phage Fpv5	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	Flavobacterium psychrophilum 950106-1/1	complete
NC_031938	Flavobacterium phage Fpv6	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	Flavobacterium psychrophilum 950106-1/1	complete
NC_031905	Flavobacterium phage Fpv7	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	Flavobacterium psychrophilum 950106-1/1	complete
NC_031919	Flavobacterium phage Fpv8	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	Flavobacterium psychrophilum 950106-1/1	complete
NC_041883	Gordonia phage Attis	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030936	Gordonia phage Bachita	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031074	Gordonia phage Bantam	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031226	Gordonia phage BaxterFox	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031247	Gordonia phage BetterKatz	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030943	Gordonia phage Blueberry	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030930	Gordonia phage Bowser	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_042108	Gordonia phage Brandonk123	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030942	Gordonia phage BritBrat	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031072	Gordonia phage CaptainKirk2	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031118	Gordonia phage CarolAnn	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030901	Gordonia phage ClubL	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030941	Gordonia phage Cozz	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031029	Gordonia phage Cucurbita	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030944	Gordonia phage Demosthenes	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031234	Gordonia phage Emalyn	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031122	Gordonia phage Eyre	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031028	Gordonia phage Ghobes	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031265	Gordonia phage Guacamole	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_042088	Gordonia phage Gustav	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031099	Gordonia phage Hedwig	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031229	Gordonia phage Hotorobo	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031060	Gordonia phage JSwag	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031109	Gordonia phage Jumbo	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030695	Gordonia phage KatherineG	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_041950	Gordonia phage Katyusha	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031233	Gordonia phage Kita	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030914	Gordonia phage Kvothe	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_042045	Gordonia phage Lennon	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031267	Gordonia phage Lucky10	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_042089	Gordonia phage Mahdia	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030924	Gordonia phage Monty	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031004	Gordonia phage Nyceirae	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031061	Gordonia phage Nymphadora	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031237	Gordonia phage Obliviate	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030917	Gordonia phage OneUp	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030915	Gordonia phage Orchid	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031112	Gordonia phage Phinally	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031031	Gordonia phage Remus	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030694	Gordonia phage Rosalind	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031255	Gordonia phage Schnabeltier	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030696	Gordonia phage Smoothie	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031251	Gordonia phage SoilAssassin	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030698	Gordonia phage Soups	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_042132	Gordonia phage Sour	Gordonia terrae NRRL B-16283	['GCF_011290605.1', 'GCF_003183825.1', 'GCF_001698225.1']	Gordonia terrae NRRL B-16283	complete
NC_030927	Gordonia phage Splinter	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_041886	Gordonia phage Strosahl	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031001	Gordonia phage Terapin	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_042102	Gordonia phage Troje	Gordonia terrea 3612	['GCF_001698225.1']	Gordonia terrea 3612	complete
NC_031052	Gordonia phage Twister6	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031249	Gordonia phage UmaThurman	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030911	Gordonia phage Vendetta	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031239	Gordonia phage Vivi2	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030913	Gordonia phage Wizard	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_030905	Gordonia phage Woes	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031269	Gordonia phage Yeezy	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031230	Gordonia phage Yvonnetastic	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_031097	Gordonia phage Zirinka	Gordonia terrae 3612	['GCF_001698225.1']	Gordonia terrae 3612	complete
NC_023592	Haloarcula hispanica pleomorphic virus 2	Haloarcula hispanica ATCC 33960	['GCF_000223905.1']	Haloarcula hispanica ATCC 33960	complete
NC_020998	Haloarcula hispanica virus PH1	Haloarcula hispanica ATCC 33960	['GCF_000223905.1']	Haloarcula hispanica ATCC 33960	complete
NC_012558	Halorubrum pleomorphic virus 1	Halorubrum sp. PV6	['GCF_003990725.2', 'GCF_003990725.1']	Halorubrum sp. PV6	complete
NC_016568	Helicobacter phage phiHP33	Helicobacter pylori B45	['GCF_017821535.1']	Helicobacter pylori	represent
NC_028664	Klebsiella phage Kp2	Klebsiella pneumoniae W15	['GCF_000240185.1']	Klebsiella pneumoniae	reference
NC_029099	Klebsiella phage KP36	Klebsiella pneumoniae KP36	['GCF_009856585.1', 'GCF_001750805.1']	Klebsiella pneumoniae KP36	complete
NC_031246	Klebsiella phage KpV71	Klebsiella pneumoniae B-7850	['GCF_000240185.1']	Klebsiella pneumoniae	reference
NC_031053	Klebsiella phage PKP126	Klebsiella pneumoniae KCTC 2242	['GCF_000220485.1']	Klebsiella pneumoniae KCTC 2242	complete
NC_031087	Klebsiella phage vB_KpnM_KpV477	Klebsiella pneumoniae KPB463	['GCF_000240185.1']	Klebsiella pneumoniae KPB463	reference
NC_004112	Lactobacillus phage A2	Lactobacillus casei ATCC 393	['GCF_000829055.1']	Lactobacillus casei ATCC 393	represent
NC_022762	Lactobacillus phage phiLdb	Lactobacillus delbrueckii ATCC 11842	['GCF_011044195.1', 'GCF_006704185.1', 'GCF_003597655.1', 'GCF_003351805.1', 'GCF_900196735.1', 'GCF_002000885.1', 'GCF_001953135.1', 'GCF_001469775.1', 'GCF_000191165.1', 'GCF_000182835.1', 'GCF_000056065.1', 'GCF_000014405.1']	Lactobacillus delbrueckii ATCC 11842	complete
NC_031036	Lactobacillus phage PLE2	Lactobacillus casei BL23	['GCF_000829055.1']	Lactobacillus casei	represent
NC_031125	Lactobacillus phage PLE3	Lactobacillus casei BL23	['GCF_000829055.1']	Lactobacillus casei	represent
NC_019916	Lactobacillus virus ATCC8014	Lactobacillus plantarum ATCC 8014	['GCF_002749655.1']	Lactobacillus plantarum ATCC 8014	complete
NC_031040	Lactococcus phage 50101	Lactococcus lactis 3107	['GCF_020463755.1']	Lactococcus lactis	represent
NC_031017	Lactococcus phage 63301	Lactococcus lactis 3107	['GCF_020463755.1']	Lactococcus lactis	represent
NC_015263	Lactococcus phage 949	Lactococcus lactis strain ML8	['GCF_020463755.1']	Lactococcus lactis	represent
NC_002666	Lactococcus phage bIL285	Lactococcus lactis subsp. lactis IL1403	['GCF_000006865.1']	Lactococcus lactis subsp. lactis IL1403	complete
NC_002667	Lactococcus phage bIL286	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	Lactococcus lactis subsp. lactis Il1403	complete
NC_002668	Lactococcus phage bIL309	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	Lactococcus lactis subsp. lactis Il1403	complete
NC_002669	Lactococcus phage bIL310	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	Lactococcus lactis subsp. lactis Il1403	complete
NC_002670	Lactococcus phage bIL311	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	Lactococcus lactis subsp. lactis Il1403	complete
NC_002671	Lactococcus phage bIL312	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	Lactococcus lactis subsp. lactis Il1403	complete
NC_023574	Lactococcus phage phiL47	Lactococcus lactis subsp. cremoris DPC6860	['GCF_000468955.1']	Lactococcus lactis subsp. cremoris	represent
NC_031016	Lactococcus phage PLgT-1	Lactococcus garvieae Lg2	['GCF_000269945.1']	Lactococcus garvieae Lg2	complete
NC_008363	Lactococcus virus P008	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	Lactococcus lactis subsp. lactis Il1403	complete
NC_042024	Lactococcus virus P2	Lactococcus lactis subsp. cremoris MG1363	['GCF_000009425.1']	Lactococcus lactis subsp. cremoris MG1363	complete
NC_020880	Leuconostoc phage P793	Leuconostoc pseudomesenteroides BM2	['GCF_016127255.1']	Leuconostoc pseudomesenteroides	represent
NC_024390	Leuconostoc phage phiLN03	Leuconostoc pseudomesenteroides LN02	['GCF_016127255.1']	Leuconostoc pseudomesenteroides	represent
NC_020870	Leuconostoc phage phiLN04	Leuconostoc pseudomesenteroides LN02	['GCF_016127255.1']	Leuconostoc pseudomesenteroides	represent
NC_024385	Leuconostoc phage phiLN12	Leuconostoc pseudomesenteroides LN02	['GCF_016127255.1']	Leuconostoc pseudomesenteroides	represent
NC_024386	Leuconostoc phage phiLN25	Leuconostoc mesenteroides LN25	['GCF_009913915.1']	Leuconostoc mesenteroides	represent
NC_024388	Leuconostoc phage phiLN34	Leuconostoc mesenteroides LN05	['GCF_009913915.1']	Leuconostoc mesenteroides	represent
NC_024380	Leuconostoc phage phiLN6B	Leuconostoc pseudomesenteroides LN02	['GCF_016127255.1']	Leuconostoc pseudomesenteroides	represent
NC_024389	Leuconostoc phage phiLNTR2	Leuconostoc mesenteroides LN05	['GCF_009913915.1']	Leuconostoc mesenteroides	represent
NC_024378	Leuconostoc phage phiLNTR3	Leuconostoc mesenteroides LN05	['GCF_009913915.1']	Leuconostoc mesenteroides	represent
NC_028766	Mannheimia phage vB_MhM_3927AP2	Mannheimia haemolytica 3927A	['GCF_002285575.1']	Mannheimia haemolytica	represent
NC_028898	Mannheimia phage vB_MhM_587AP1	Mannheimia haemolytica 587A serotype A2	['GCF_002285575.1']	Mannheimia haemolytica	represent
NC_028853	Mannheimia phage vB_MhS_535AP2	Mannheimia haemolytica 535A serotype A1	['GCF_002285575.1']	Mannheimia haemolytica	represent
NC_028743	Mannheimia phage vB_MhS_587AP2	Mannheimia haemolytica 587A serotype A2	['GCF_002285575.1']	Mannheimia haemolytica	represent
NC_042099	Microbacterium phage Dismas	Microbacterium foliorum NRRL B-24224	['GCF_003367705.1']	Microbacterium foliorum NRRL B-24224	represent
NC_042117	Microbacterium phage Golden	Microbacterium foliorum NRRL B-24224 SEA	['GCF_003367705.1']	Microbacterium foliorum NRRL B-24224	represent
NC_042110	Microbacterium phage Hamlet	Microbacterium foliorum NRRL B-24224 SEA	['GCF_003367705.1']	Microbacterium foliorum NRRL B-24224	represent
NC_042111	Microbacterium phage Ilzat	Microbacterium foliorum NRRL B-24224 SEA	['GCF_003367705.1']	Microbacterium foliorum NRRL B-24224	represent
NC_042118	Microbacterium phage Koji	Microbacterium foliorum NRRL B-24224 SEA	['GCF_003367705.1']	Microbacterium foliorum NRRL B-24224	represent
NC_042119	Microbacterium phage Pikmin	Microbacterium foliorum NRRL B-24224 SEA	['GCF_003367705.1']	Microbacterium foliorum NRRL B-24224	represent
NC_023597	Mycobacterium phage 20ES	Mycobacterium smegmatis mc2155	['GCF_022370415.1', 'GCF_022370395.1', 'GCF_022370375.1', 'GCF_021183665.1', 'GCF_019930745.1', 'GCF_000331165.2', 'GCF_001457595.1', 'GCF_000767705.1', 'GCF_000767665.1', 'GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2155	complete
NC_028920	Mycobacterium phage Abrogate	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022328	Mycobacterium phage Adawi	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022058	Mycobacterium phage Adzzy	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023723	Mycobacterium phage Aeneas	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023742	Mycobacterium phage Akoma	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028986	Mycobacterium phage Alice	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023862	Mycobacterium phage Alsfro	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_026583	Mycobacterium phage Alvin	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_012788	Mycobacterium phage Angel	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022087	Mycobacterium phage AnnaL29	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
