virus name	refseq id	evidence	host name	host tax id	host lineage	host_rank	common_lineage
Lactococcus phage BK5-T	NC_002796, NC_056724	Literature, RefSeq	Lactococcus lactis	1358	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;t__
Natrialba phage PhiCh1	NC_004084, NC_054954	RefSeq	Natrialba magadii	13769	Archaea; Euryarchaeota; Stenosarchaea group; Halobacteria; Natrialbales; Natrialbaceae; Natrialba	species	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrialba;s__Natrialba magadii;t__
Natrialba phage PhiCh1	NC_004084, NC_054954	RefSeq	Natrialba magadii ATCC 43099	547559	Archaea; Euryarchaeota; Stenosarchaea group; Halobacteria; Natrialbales; Natrialbaceae; Natrialba; Natrialba magadii	strain	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrialba;s__Natrialba magadii;t__Natrialba magadii ATCC 43099
Pseudomonas phage phi12	GCF_000851005.1(NC_004173, NC_004174, NC_004175)	RefSeq	Pseudomonas syringae	317	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas syringae;t__
Pseudomonas phage phi13	GCF_000852445.1(NC_004170, NC_004171, NC_004172)	RefSeq	Pseudomonas syringae	317	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas syringae;t__
Pseudomonas phage phi2954	GCF_000882035.1(NC_012091, NC_012092, NC_012093)	RefSeq	Pseudomonas syringae	317	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas syringae;t__
Pseudomonas phage phi8	GCF_000848645.1(NC_003299, NC_003300, NC_003301)	RefSeq	Pseudomonas syringae	317	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas syringae;t__
Pseudomonas phage phiNN	GCF_002925585.1(NC_042068, NC_042069, NC_042070)	RefSeq	Pseudomonas sp.	306	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas sp.;t__
Pseudomonas phage phiYY	GCF_002925595.1(NC_042071, NC_042072, NC_042073)	RefSeq	Pseudomonas aeruginosa	287	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa;t__
Pseudomonas virus phi6	GCF_000852125.1(NC_003714, NC_003715, NC_003716)	NCBI Virus, RefSeq, UniProt	Pseudomonas savastanoi pv. phaseolicola	319	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 2	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas savastanoi;t__
Salmonella phage SP069	GCF_002831045.1(NC_042062 NC_042063,NC_042064)	RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__
Salmonella virus Chi	NC_021315, NC_025442	NCBI Virus, RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__
Synechococcus phage ACG-2014a	KJ019026, KJ019030, KJ019033, KJ019038, KJ019039, KJ019055, KJ019065, KJ019067, KJ019068, KJ019076, KJ019081, KJ019084, KJ019087, KJ019088, KJ019114, KJ019116, KJ019122, KJ019135, KJ019137, KJ019138, KJ019153, KJ019157, KJ019158, KJ019163	NCBI Virus	Synechococcus	1129	Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Synechococcaceae	genus	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__;t__
Synechococcus phage S-CAM22	NC_031903, NC_055710	NCBI Virus, RefSeq	Synechococcus sp.	1131	Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus	species	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp.;t__
Synechococcus phage S-CBP3	NC_025461, NC_048184	RefSeq	Synechococcus sp. CB0101	232348	Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus	species	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. CB0101;t__
Synechococcus phage S-CBP4	NC_025464, NC_048183	RefSeq	Synechococcus sp. CB0101	232348	Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus	species	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. CB0101;t__
