virus_name	viral_acc	virus_taxid	virus_lineage	evidence	report_host	host_taxid	host_lineage	host_tax_rank	find_name	gcfs	new_gcf	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
Achromobacter phage vB_AxyP_19-32_Axy04	NC_054967	2591039	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Dongdastvirus;s__Achromobacter virus Axy04;t__	Literature, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage vB_AxyP_19-32_Axy10	NC_054971	2591041	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Pourcelvirus;s__Achromobacter virus Axy10;t__	Literature, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage vB_AxyP_19-32_Axy11	NC_054972	2591042	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Pourcelvirus;s__Achromobacter virus Axy11;t__	Literature, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage vB_AxyP_19-32_Axy12	NC_054968	2591043	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Dongdastvirus;s__Achromobacter virus Axy12;t__	Literature, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage vB_AxyP_19-32_Axy24	NC_054969	2591048	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Dongdastvirus;s__Achromobacter virus Axy24;t__	Literature, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Acidianus filamentous virus 1	NC_005830	235266	k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Gammalipothrixvirus;s__Acidianus filamentous virus 1;t__	UniProt	Acidianus hospitalis	563177	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus hospitalis;t__	species	Acidianus hospitalis	['GCF_000213215.1']	GCF_000213215.1	Represent	Complete Genome	563177	species	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus hospitalis;t__
Acidianus spindle-shaped virus 1	NC_013585	693629	k__Viruses;p__;c__;o__;f__Fuselloviridae;g__Betafusellovirus;s__Acidianus spindle-shaped virus 1;t__	Literature, NCBI Virus, RefSeq	Acidianus brierleyi	41673	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus brierleyi;t__	species	Acidianus brierleyi	['GCF_003201835.2']	GCF_003201835.2	Represent	Complete Genome	41673	species	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus brierleyi;t__
Acidithiobacillus phage AcaML1	JX507079	1229761	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Acidithiobacillus phage AcaML1;t__	Literature, NCBI Virus, RefSeq	Acidithiobacillus caldus ATCC 51756	637389	k__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus caldus;t__Acidithiobacillus caldus ATCC 51756	strain	Acidithiobacillus caldus ATCC 51756	['GCF_000175575.2']	GCF_000175575.2	Unreference	Complete Genome	637389	strain	k__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus caldus;t__Acidithiobacillus caldus ATCC 51756
Acidovorax phage ACP17	NC_041997	2010329	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Busanvirus;s__Acidovorax virus ACP17;t__	Literature, RefSeq	Acidovorax citrulli	80869	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;s__Acidovorax citrulli;t__	species	Acidovorax citrulli	['GCF_001593665.2']	GCF_001593665.2	Represent	Complete Genome	80869	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;s__Acidovorax citrulli;t__
Acinetobacter phage AB1	NC_042028	889876	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus AB1;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter phage AbKT21phiIII	NC_048142	2500826	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus AbKT21III;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter phage Abp1	NC_021316	1235824	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus Abp1;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter phage AbP2	NC_041998	2015804	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus AbP2;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter phage AbTZA1	NC_049445	2500827	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Hadassahvirus;s__Acinetobacter virus AbTZA1;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter phage Acj61	NC_014661	760732	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Lasallevirus;s__Acinetobacter virus Acj61;t__	Literature, RefSeq	Acinetobacter johnsonii	40214	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii;t__	species	Acinetobacter johnsonii	['GCF_021496365.1', 'GCF_021496345.1', 'GCF_021496325.1', 'GCF_021496295.1', 'GCF_021432745.1', 'GCF_020162195.1', 'GCF_003939325.2', 'GCF_019334405.1', 'GCF_017068175.1', 'GCF_016728805.1', 'GCF_016726625.1', 'GCF_016725945.1', 'GCF_016027055.1', 'GCF_015602645.1', 'GCF_008180305.1', 'GCF_004337595.1', 'GCF_003952785.1', 'GCF_003335165.1', 'GCF_001484935.1']	GCF_021496365.1	Unreference	Complete Genome	40214	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii;t__
Acinetobacter phage Acj9	NC_014663	760939	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Acajnonavirus;s__Acinetobacter virus Acj9;t__	Literature, RefSeq	Acinetobacter johnsonii	40214	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii;t__	species	Acinetobacter johnsonii	['GCF_021496365.1', 'GCF_021496345.1', 'GCF_021496325.1', 'GCF_021496295.1', 'GCF_021432745.1', 'GCF_020162195.1', 'GCF_003939325.2', 'GCF_019334405.1', 'GCF_017068175.1', 'GCF_016728805.1', 'GCF_016726625.1', 'GCF_016725945.1', 'GCF_016027055.1', 'GCF_015602645.1', 'GCF_008180305.1', 'GCF_004337595.1', 'GCF_003952785.1', 'GCF_003335165.1', 'GCF_001484935.1']	GCF_021496365.1	Unreference	Complete Genome	40214	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii;t__
Acinetobacter phage AM101	NC_049511	2178927	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Lazarusvirus;s__Acinetobacter virus AM101;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter phage AP22	NC_017984	1187128	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus AP22;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter phage Fri1	NC_028848	1647373	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus Fri1;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter phage IME-200	NC_028987	1735582	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus IME200;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter phage IMEAB3	NC_023590	1458669	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Lokivirus;s__Acinetobacter virus IMEAB3;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter phage KARL-1	NC_049441	2301662	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Lazarusvirus;s__Acinetobacter virus KARL1;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter phage Loki	NC_042137	1970374	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Lokivirus;s__Acinetobacter virus Loki;t__	Literature	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter phage Loki	NC_042137	1970374	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Lokivirus;s__Acinetobacter virus Loki;t__	Literature	Acinetobacter lwoffii	28090	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii;t__	species	Acinetobacter lwoffii	['GCF_019343495.1']	GCF_019343495.1	Represent	Complete Genome	28090	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii;t__
Acinetobacter phage Loki	NC_042137	1970374	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Lokivirus;s__Acinetobacter virus Loki;t__	Literature	Acinetobacter baylyi ADP1	62977	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baylyi;t__Acinetobacter baylyi ADP1	strain	Acinetobacter baylyi ADP1	['GCF_000046845.1']	GCF_000046845.1	Represent	Complete Genome	62977	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baylyi;t__Acinetobacter baylyi ADP1
Acinetobacter phage Loki	NC_042137	1970374	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Lokivirus;s__Acinetobacter virus Loki;t__	Literature, RefSeq	Acinetobacter baumannii ATCC 17978	400667	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__Acinetobacter baumannii ATCC 17978	strain	Acinetobacter baumannii ATCC 17978	['GCF_013372085.1', 'GCF_004797155.2', 'GCF_004794235.2', 'GCF_004794275.2']	GCF_013372085.1	Unreference	Complete Genome	400667	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__Acinetobacter baumannii ATCC 17978
Acinetobacter phage LZ35	NC_031117	1792222	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus LZ35;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
