viral.accn,Virus.name,Reported.host.name,Host.accn,Matched.RefSeq.name,Host.taxid,Domain,Phylum,Class,Order,Family,Genus,Species,
NC_031056,Bacillus phage Deep Blue,Bacillus cereus BtB2-4,GCF_000293605.1,Bacillus mycoides strain=BtB2-4,1405,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus mycoides,
NC_027352,Bacillus phage JBP901,Bacillus cereus ATCC 14579,GCF_000007825.1,Bacillus cereus ATCC 14579 strain=ATCC 14579,226900,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,
NC_007734,Bacillus virus Wbeta,Bacillus cereus ATCC 4342,GCF_000832845.1,Bacillus cereus ATCC 4342 strain=ATCC 4342,526977,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,
NC_028841,Bacteriophage Lily,Paenibacillus larvae ATCC 9545,GCF_002003265.1,Paenibacillus larvae subsp. larvae strain=ATCC 9545,147375,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus larvae,
NC_031264,Brucella phage BiPBO1,Brucella inopinata strain BO1,GCF_000182725.1,Brucella inopinata BO1 strain=BO1,470735,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella inopinata,
NC_019446,Brucella phage Tb,Brucella abortus 544,GCF_000739315.1,Brucella abortus 544 strain=544,1169205,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,
NC_022916,Burkholderia phage JG068,Burkholderia cenocepacia K56-2,GCF_000981305.1,Burkholderia cenocepacia strain=K56-2,95486,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia,
NC_009604,Burkholderia virus BcepNY3,Burkholderia cenocepacia HI2424,GCF_000203955.1,Burkholderia cenocepacia HI2424 strain=HI2424,331272,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia,
NC_005284,Burkholderia virus phi1026b,Burkholderia pseudomallei 1026b,GCF_000959125.1,Burkholderia pseudomallei 1026b strain=1026b,884204,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia pseudomallei,
NC_018861,Campylobacter phage CP30A,Campylobacter jejuni subsp. jejuni PT14,GCF_000302555.5,Campylobacter jejuni subsp. jejuni PT14 strain=PT14,1201032,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,
NC_025422,Caulobacter phage Cr30,Caulobacter crescentus CB15,GCF_000006905.1,Caulobacter vibrioides CB15 strain=CB15,190650,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides,
NC_021803,Cellulophaga phage phi13:2,Cellulophaga baltica #13,GCF_000468595.1,Cellulophaga baltica 13,1348583,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica,
NC_021796,Cellulophaga phage phi38:1,Cellulophaga baltica NN016038,GCF_000477035.2,Cellulophaga baltica NN016038 strain=NN016038,1348585,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica,
NC_021788,Cellulophaga phage phi4:1,Cellulophaga baltica #4,GCF_000468575.1,Cellulophaga baltica 4,1348582,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica,
NC_028880,Citrobacter phage phiCFP-1,Citrobacter freundii P10159,GCF_001281005.1,Citrobacter portucalensis strain=P10159,1639133,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter portucalensis,
NC_030950,Clostridium phage phiCT19406A,Clostridium tetani ATCC 19406,GCF_000762305.1,Clostridium tetani strain=ATCC 19406,1513,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium tetani,
NC_030947,Clostridium phage phiCT19406B,Clostridium tetani ATCC 19406,GCF_000762305.1,Clostridium tetani strain=ATCC 19406,1513,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium tetani,
NC_029006,Clostridium phage phiCT19406C,Clostridium tetani ATCC 19406,GCF_000762305.1,Clostridium tetani strain=ATCC 19406,1513,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium tetani,
NC_028991,Clostridium phage phiCT453A,Clostridium tetani ATCC 453,GCF_000762325.1,Clostridium tetani strain=ATCC 453,1513,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium tetani,
NC_029004,Clostridium phage phiCT453B,Clostridium tetani ATCC 453,GCF_000762325.1,Clostridium tetani strain=ATCC 453,1513,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium tetani,
NC_029022,Clostridium phage phiCT9441A,Clostridium tetani ATCC 9441,GCF_000762315.1,Clostridium tetani ATCC 9441 strain=ATCC 9441,1172203,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium tetani,
NC_018088,Colwellia phage 9A,Colwellia psychrerythaea strain 34H,GCF_000012325.1,Colwellia psychrerythraea 34H strain=34H; BAA-681,167879,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia psychrerythraea,
NC_018276,Croceibacter phage P2559S,Croceibacter atlanticus HTCC2559,GCF_000196315.1,Croceibacter atlanticus HTCC2559 strain=HTCC2559,216432,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus,
NC_023614,Croceibacter phage P2559Y,Croceibacter atlanticus HTCC2559,GCF_000196315.1,Croceibacter atlanticus HTCC2559 strain=HTCC2559,216432,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus,
NC_024354,Cronobacter phage CR8,Cronobacter sakazakii ATCC 29544,GCF_000982825.1,Cronobacter sakazakii strain=ATCC 29544,28141,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter sakazakii,
NC_018454,Cronobacter phage phiES15,UV-induced Cronobacter sakazakii ES15,GCF_000263215.1,Cronobacter sakazakii ES15,1138308,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter sakazakii,
NC_028773,Cronobacter phage S13,Cronobacter sakazakii ATCC 29544,GCF_000982825.1,Cronobacter sakazakii strain=ATCC 29544,28141,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter sakazakii,
NC_020078,Cronobacter phage vB_CskP_GAP227,Cronobacter sakazakii strain 51329,GCF_001277195.1,Cronobacter muytjensii ATCC 51329 strain=ATCC 51329,1159613,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter muytjensii,
NC_016657,Cyanophage 9515-10a,Prochlorococcus sp. MIT9515,GCF_000015665.1,Prochlorococcus sp. MIT9515,167542,Bacteria,Cyanobacteria,#missing#,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,
NC_020865,Cyanophage KBS-P-1A,Synechococcus sp. WH7803,GCF_000063505.1,Synechococcus sp. WH7803,32051,Bacteria,Cyanobacteria,#missing#,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 7803,
NC_020854,Cyanophage KBS-S-2A,Synechococcus sp. WH7803,GCF_000063505.1,Synechococcus sp. WH7803,32051,Bacteria,Cyanobacteria,#missing#,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 7803,
NC_020857,Cyanophage MED4-117,Prochlorococcus MED4,GCF_000011465.1,Prochlorococcus marinus subsp. pastoris str. CCMP1986 strain=MED4,59919,Bacteria,Cyanobacteria,#missing#,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,
NC_016658,Cyanophage NATL1A-7,Prochlorococcus sp. NATL1A,GCF_000015685.1,Prochlorococcus marinus str. NATL1A strain=NATL1A,167555,Bacteria,Cyanobacteria,#missing#,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,
NC_016659,Cyanophage NATL2A-133,Prochlorococcus sp. NATL2A,GCF_000012465.1,Prochlorococcus marinus str. NATL2A strain=NATL2A,59920,Bacteria,Cyanobacteria,#missing#,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,
NC_020855,Cyanophage P-RSM6,Prochlorococcus NATL2A,GCF_000012465.1,Prochlorococcus marinus str. NATL2A strain=NATL2A,59920,Bacteria,Cyanobacteria,#missing#,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,
NC_028663,Cyanophage P-TIM40,Prochlorococcus sp. NATL2A,GCF_000012465.1,Prochlorococcus marinus str. NATL2A strain=NATL2A,59920,Bacteria,Cyanobacteria,#missing#,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,
NC_013021,Cyanophage PSS2,Prochlorococcus marinus str. MIT 9313,GCF_000011485.1,Prochlorococcus marinus str. MIT 9313 strain=MIT9313,74547,Bacteria,Cyanobacteria,#missing#,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,
NC_019516,Cyanophage S-TIM5,Synechococcus sp. WH8102,GCF_000195975.1,Synechococcus sp. WH8102,84588,Bacteria,Cyanobacteria,#missing#,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 8102,
NC_020872,Cyanophage SS120-1,Prochlorococcus marinus SS120,GCF_000007925.1,Prochlorococcus marinus subsp. marinus str. CCMP1375 strain=CCMP1375; SS120,167539,Bacteria,Cyanobacteria,#missing#,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,
NC_021072,Cyanophage Syn30,Synechococcus sp. WH7803,GCF_000063505.1,Synechococcus sp. WH7803,32051,Bacteria,Cyanobacteria,#missing#,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 7803,
NC_028702,Delftia phage IME-DE1,Delftia sp. 670,GCF_000710145.1,Delftia sp. 670 strain=670,1537702,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia sp. 670,
NC_000924,Enterobacteria phage 933W,Escherichia coli O157:H7 EDL933,GCF_000732965.1,Escherichia coli O157:H7 str. EDL933 strain=EDL933,155864,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_042057,Enterobacteria phage DE3,Escherichia coli BL21(DE3),GCF_000009565.1,Escherichia coli BL21(DE3) strain=BL21(DE3),469008,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_012741,Enterobacteria phage JS10,Escherichia coli K12,GCF_000981485.1,Escherichia coli K-12 strain=K-12 substr. AG100,83333,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_012868,Enterobacteria phage St-1,Escherichia coli strain K12,GCF_000981485.1,Escherichia coli K-12 strain=K-12 substr. AG100,83333,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_031051,Enterococcus phage SANTOR1,Enterococcus faecalis ATCC 19433,GCF_000392875.1,Enterococcus faecalis ATCC 19433 strain=ATCC 19433,1169286,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,
NC_028693,Enterococcus phage vB_EfaP_IME195,Enterococcus faecalis 2003,GCF_000007785.1,Enterococcus faecalis V583 strain=V583,226185,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,
NC_023743,Escherichia phage EB49,Escherichia coli CFT073,GCF_000007445.1,Escherichia coli CFT073 strain=CFT073,199310,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_012740,Escherichia phage JSE,Escherichia coli K12,GCF_000981485.1,Escherichia coli K-12 strain=K-12 substr. AG100,83333,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_021344,Escherichia phage Lw1,Escherichia coli BL21(DE3),GCF_000009565.1,Escherichia coli BL21(DE3) strain=BL21(DE3),469008,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_041935,Escherichia phage PA28,Escherichia coli PA28,GCF_000267765.2,Escherichia coli PA28 strain=PA28,1005501,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_024379,Escherichia phage PE3-1,Escherichia coli O153,GCF_000614565.2,Escherichia coli O153:H2 str. 2010C-5034 strain=2010C-5034,1446603,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_028896,Escherichia phage pro147,Escherichia coli DE048,GCF_001005605.1,Escherichia coli strain=DE048,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_028943,Escherichia phage pro483,Escherichia coli DE048,GCF_001005605.1,Escherichia coli strain=DE048,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_042043,Escherichia phage SRT8,Escherichia coli BL21,GCF_000833145.1,Escherichia coli strain=BL21 (TaKaRa),562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_031082,Escherichia phage vB_EcoM_Alf5,Escherichia coli K12,GCF_000981485.1,Escherichia coli K-12 strain=K-12 substr. AG100,83333,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_041926,Escherichia phage vB_EcoM_ECOO78,Escherichia coli O78,GCF_000332755.1,Escherichia coli APEC O78 strain=APEC O78,1274814,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_027395,Escherichia phage vB_EcoP_SU10,Escherichia coli ECOR10,GCF_002190295.1,Escherichia coli strain=ECOR10,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
NC_031911,Flavobacterium phage 1H,Flavobacterium psychrophilum MH1,GCF_000971605.2,Flavobacterium psychrophilum strain=MH1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_031926,Flavobacterium phage 2A,Flavobacterium psychrophilum A2,GCF_004634195.1,Flavobacterium sp. SaA2.12 strain=SaA2.12,2545633,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. SaA2.12,
NC_021867,Flavobacterium phage 6H,Flavobacterium psychrophilum strain MH1,GCF_000971605.2,Flavobacterium psychrophilum strain=MH1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_027125,Flavobacterium phage FCL-2,Flavobacterium columnare B185,GCF_001580475.1,Flavobacterium columnare strain=B185,996,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium columnare,
NC_031914,Flavobacterium phage Fpv1,Flavobacterium psychrophilum 950106-1/1,GCF_000767095.1,Flavobacterium psychrophilum strain=950106-1/1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_031932,Flavobacterium phage Fpv10,Flavobacterium psychrophilum 950106-1/1,GCF_000767095.1,Flavobacterium psychrophilum strain=950106-1/1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_031945,Flavobacterium phage Fpv11,Flavobacterium psychrophilum 950106-1/1,GCF_000767095.1,Flavobacterium psychrophilum strain=950106-1/1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_031931,Flavobacterium phage Fpv2,Flavobacterium psychrophilum 950106-1/1,GCF_000767095.1,Flavobacterium psychrophilum strain=950106-1/1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_031912,Flavobacterium phage Fpv20,Flavobacterium psychrophilum 950106-1/1,GCF_000767095.1,Flavobacterium psychrophilum strain=950106-1/1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_031904,Flavobacterium phage Fpv3,Flavobacterium psychrophilum 950106-1/1,GCF_000767095.1,Flavobacterium psychrophilum strain=950106-1/1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_041872,Flavobacterium phage FpV4,Flavobacterium psychrophilum 950106-1/1,GCF_000767095.1,Flavobacterium psychrophilum strain=950106-1/1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_031921,Flavobacterium phage Fpv5,Flavobacterium psychrophilum 950106-1/1,GCF_000767095.1,Flavobacterium psychrophilum strain=950106-1/1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_031938,Flavobacterium phage Fpv6,Flavobacterium psychrophilum 950106-1/1,GCF_000767095.1,Flavobacterium psychrophilum strain=950106-1/1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_031905,Flavobacterium phage Fpv7,Flavobacterium psychrophilum 950106-1/1,GCF_000767095.1,Flavobacterium psychrophilum strain=950106-1/1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_031919,Flavobacterium phage Fpv8,Flavobacterium psychrophilum 950106-1/1,GCF_000767095.1,Flavobacterium psychrophilum strain=950106-1/1,96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,
NC_041883,Gordonia phage Attis,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_030936,Gordonia phage Bachita,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031074,Gordonia phage Bantam,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031226,Gordonia phage BaxterFox,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031247,Gordonia phage BetterKatz,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_030943,Gordonia phage Blueberry,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_030930,Gordonia phage Bowser,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_042108,Gordonia phage Brandonk123,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_030942,Gordonia phage BritBrat,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031072,Gordonia phage CaptainKirk2,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031118,Gordonia phage CarolAnn,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_030901,Gordonia phage ClubL,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_030941,Gordonia phage Cozz,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031029,Gordonia phage Cucurbita,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_030944,Gordonia phage Demosthenes,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031234,Gordonia phage Emalyn,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031122,Gordonia phage Eyre,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031028,Gordonia phage Ghobes,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031265,Gordonia phage Guacamole,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_042088,Gordonia phage Gustav,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031099,Gordonia phage Hedwig,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031229,Gordonia phage Hotorobo,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031060,Gordonia phage JSwag,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
NC_031109,Gordonia phage Jumbo,Gordonia terrae 3612,GCF_001698225.1,Gordonia terrae strain=3612,2055,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,
